x, y
-100000, -9.99999e+24
-75000, -2.37304e+24
-50000, -3.12499e+23
-25000, -9.76559e+21
0, -1.2
25000, 9.76566e+21
50000, 3.12501e+23
75000, 2.37305e+24
100000, 1e+25
