x, y
-100000, -9.99999e+24
-77777.8, -2.84628e+24
-55555.6, -5.29221e+23
-33333.3, -4.11521e+22
-11111.1, -1.69349e+20
11111.1, 1.69352e+20
33333.3, 4.11524e+22
55555.6, 5.29222e+23
77777.8, 2.84628e+24
100000, 1e+25
